BUD,Name,GLNumber,Parent GLNumber,Account Type,Balance,AccountStatus,Date,Description
REX,Cash,10000,,Cash,0,active,1/1/16,
REX,Petty Cash,10100,,Cash,0,active,1/1/16,
REX,FRB 54320 (operating account),10104,10000,Bank Account,0,active,1/1/16,
REX,FRB 96953 (deposit account),10105,10000,Bank Account,0,active,1/1/16,
REX,Undeposited Funds,10999,10000,Cash,0,active,1/1/16,
REX,Credit Cards Funds in Transit,11000,,Cash,0,active,1/1/16,
REX,Accounts Receivable,12000,,Accounts Receivable,0,active,1/1/16,
REX,Rent Roll Receivables,12001,12000,Accounts Receivable,0,active,1/1/16,
REX,Invoice Receivables,12002,12000,Accounts Receivable,0,active,1/1/16,
REX,Unapplied Funds,12999,,Asset,0,active,1/1/16,
REX,Security Deposits,30000,,Liabilities,0,active,1/1/16,
REX,Collected Taxes,30100,,Liabilities,0,active,1/1/16,
REX,Sales Taxes Collected,30101,30100,Liabilities,0,active,1/1/16,
REX,Transient Occupancy Taxes Collected,30102,30100,Liabilities,0,active,1/1/16,
REX,Other Collected Taxes,30199,30100,Liabilities,0,active,1/1/16,
REX,Gross Scheduled Rent-Taxable,41000,,Income,0,active,1/1/16,
REX,Gross Scheduled Rent-Not Taxable,41001,,Income,0,active,1/1/16,
REX,Unit Income Offsets,41100,,Income Offset,0,active,1/1/16,
REX,Vacancy,41101,41100,Income Offset,0,active,1/1/16,
REX,Loss (Gain) to Lease,41102,41100,Income Offset,0,active,1/1/16,
REX,Employee Concessions,41103,41100,Income Offset,0,active,1/1/16,
REX,Resident Concessions,41104,41100,Income Offset,0,active,1/1/16,
REX,Owner Concession,41105,41100,Income Offset,0,active,1/1/16,
REX,Administrative Concession,41106,41100,Income Offset,0,active,1/1/16,
REX,Off Line Renovations,41107,41100,Income Offset,0,active,1/1/16,
REX,Off Line Maintenance,41108,41100,Income Offset,0,active,1/1/16,
REX,Othe Income Offsets,41199,41100,Income Offset,0,active,1/1/16,
REX,Service Fees,41200,,Income,0,active,1/1/16,
REX,Broadcast and IT Services,41201,41200,Income,0,active,1/1/16,
REX,Food Services,41202,41200,Income,0,active,1/1/16,
REX,Linen Services,41203,41200,Income,0,active,1/1/16,
REX,Wash N Fold Services,41204,41200,Income,0,active,1/1/16,
REX,Other Service Fees,41299,41200,Income,0,active,1/1/16,
REX,Utility Fees,41300,,Income,0,active,1/1/16,
REX,Electric Base Fee,41301,41300,Income,0,active,1/1/16,
REX,Electric Overage,41302,41300,Income,0,active,1/1/16,
REX,Water and Sewer Base Fee,41303,41300,Income,0,active,1/1/16,
REX,Water and Sewer Overage,41304,41300,Income,0,active,1/1/16,
REX,Gas Base Fee,41305,41300,Income,0,active,1/1/16,
REX,Gas Overage,41306,41300,Income,0,active,1/1/16,
REX,Trash Collection Base Fee,41307,41300,Income,0,active,1/1/16,
REX,Trash Collection Overage,41308,41300,Income,0,active,1/1/16,
REX,Other Utility Fee,41399,41300,Income,0,active,1/1/16,
REX,Special Tenant Charges,41400,,Income,0,active,1/1/16,
REX,Application Fees,41401,41400,Income,0,active,1/1/16,
REX,Late Fees,41402,41400,Income,0,active,1/1/16,
REX,Insufficient Funds Fee,41403,41400,Income,0,active,1/1/16,
REX,Month to Month Fee,41404,41400,Income,0,active,1/1/16,
REX,Rentable Specialties,41405,41400,Income,0,active,1/1/16,
REX,No Show or Termination Fee,41406,41400,Income,0,active,1/1/16,
REX,Pet Fees,41407,41400,Income,0,active,1/1/16,
REX,Pet Rent,41408,41400,Income,0,active,1/1/16,
REX,Tenant Expense Chargeback,41409,41400,Income,0,active,1/1/16,
REX,Special Cleaning Fee,41410,41400,Income,0,active,1/1/16,
REX,Eviction Fee Reimbursement,41411,41400,Income,0,active,1/1/16,
REX,Extra Person Charge,41412,41400,Income,0,active,1/1/16,
REX,Forfeited Security Deposit,41413,41400,Income,0,active,1/1/16,
REX,Damage Fee,41414,41400,Income,0,active,1/1/16,
REX,CAM Fees,41415,41400,Income,0,active,1/1/16,
REX,Other Special Tenant Charges,41499,41400,Income,0,active,1/1/16,
REX,Business Income,42000,,Income,0,active,1/1/16,
REX,Convenience Store,42100,42000,Income,0,active,1/1/16,
REX,Fitness Center Revenue,42200,42000,Income,0,active,1/1/16,
REX,Vending Income,42300,42000,Income,0,active,1/1/16,
REX,Restaurant Sales,42400,42000,Income,0,active,1/1/16,
REX,Bar Sales,42500,42000,Income,0,active,1/1/16,
REX,Spa Sales,42600,42000,Income,0,active,1/1/16,
REX,Expenses,50000,,Expenses,0,active,1/1/16,
REX,Cash Over/Short,50001,50000,Expenses,0,active,1/1/16,
REX,Bad Debt,50002,50000,Expenses,0,active,1/1/16,
REX,Bank Service Fee,50003,50000,Expenses,0,active,1/1/16,
REX,Other Expenses,50999,50000,Expenses,0,active,1/1/16,
