BUD,Name,Value
REX,HowFound,4Walls
REX,HowFound,Apartment Finder Blue Book
REX,HowFound,Apartment Guide
REX,HowFound,Apartment Locator
REX,HowFound,Apartment Map
REX,HowFound,ApartmentFinder.com
REX,HowFound,ApartmentGuide.com
REX,HowFound,ApartmentGuyze.com
REX,HowFound,ApartmentHomeLiving.com
REX,HowFound,ApartmentLints.com
REX,HowFound,ApartmentMag.com
REX,HowFound,ApartmentMarketer.com
REX,HowFound,ApartmentMatching.com
REX,HowFound,ApartmentRatings.com
REX,HowFound,ApartmentSearch.com
REX,HowFound,ApartmentShowcase.com
REX,HowFound,Apartments.com
REX,HowFound,Apartments24-7.com
REX,HowFound,ApartmentsNationwide.com
REX,HowFound,ApartmentsPlus.com
REX,HowFound,Brochure/Flyer
REX,HowFound,CitySearch.com
REX,HowFound,CollegeRentals.com
REX,HowFound,CraigsList.com
REX,HowFound,Current resident
REX,HowFound,Direct Mail - Conventional
REX,HowFound,Direct Mail - FullService
REX,HowFound,Drive by
REX,HowFound,EasyRent.com
REX,HowFound,El Nacional
REX,HowFound,EliteRenting.com
REX,HowFound,For Rent Magazine
REX,HowFound,ForRent.com
REX,HowFound,Google Internet Program
REX,HowFound,Google.com
REX,HowFound,HotPads.com
REX,HowFound,LivingChoices.com
REX,HowFound,Local Line Rolloer
REX,HowFound,Locator Service
REX,HowFound,Move.com
REX,HowFound,MoveForFree.com
REX,HowFound,MyNewPlace.com
REX,HowFound,Oklahoma Gazette
REX,HowFound,Oodle.com
REX,HowFound,Other
REX,HowFound,Other
REX,HowFound,Other OneSite property
REX,HowFound,Other property
REX,HowFound,Other publication
REX,HowFound,Other site
REX,HowFound,PMC-owned Website
REX,HowFound,PeopleWithPets.com
REX,HowFound,Preferred employer program
REX,HowFound,Prior resident
REX,HowFound,Property website
REX,HowFound,Radio Advertising
REX,HowFound,Referral companies/merchants
REX,HowFound,Rent.com
REX,HowFound,RentAndMove.com
REX,HowFound,RentClicks.com
REX,HowFound,RentJungle.com
REX,HowFound,RentNet.com
REX,HowFound,RentWiki.com
REX,HowFound,Rentals.com
REX,HowFound,Rentping.com
REX,HowFound,Roomster.net
REX,HowFound,Senior Living Magazine
REX,HowFound,Site-owned website
REX,HowFound,TV Advertising
REX,HowFound,Tinker Take Off
REX,HowFound,UMoveFree.com
REX,HowFound,Unknown/Would not give
REX,HowFound,Yahoo.com
REX,HowFound,Yellow pages
REX,ApplDeny,Criminal background
REX,ApplDeny,No credit history
REX,ApplDeny,No employment history
REX,ApplDeny,No poor credit history
REX,ApplDeny,No poor employment history
REX,ApplDeny,No poor rental history
REX,ApplDeny,No rental history
REX,ApplDeny,Other
REX,WhyLeaving,Abandoned Apartment
REX,WhyLeaving,Acquired a pet
REX,WhyLeaving,Added a roommate
REX,WhyLeaving,Amenities lacking
REX,WhyLeaving,Application declined
REX,WhyLeaving,Bought condominium
REX,WhyLeaving,Bought home
REX,WhyLeaving,Bought townhome
REX,WhyLeaving,Changed jobs
REX,WhyLeaving,Closer to airport
REX,WhyLeaving,Closer to town/city
REX,WhyLeaving,Closer to work
REX,WhyLeaving,Corporate or short term lease only
REX,WhyLeaving,Death or illness
REX,WhyLeaving,Dissatisfied for another reason
REX,WhyLeaving,Divorce
REX,WhyLeaving,Employment transfer
REX,WhyLeaving,Evicted for another reason
REX,WhyLeaving,Evicted for criminal reasons
REX,WhyLeaving,Evicted for non-compliance with community policies
REX,WhyLeaving,Evicted for non-payment of rent
REX,WhyLeaving,Generally unhappy with property
REX,WhyLeaving,Getting married
REX,WhyLeaving,High utility costs
REX,WhyLeaving,Leaving/graduating school
REX,WhyLeaving,Lifestyle change for another reason
REX,WhyLeaving,Loss of employment from the PMC
REX,WhyLeaving,Lost a job
REX,WhyLeaving,Lost a roommate
REX,WhyLeaving,Marital status change
REX,WhyLeaving,Military transfer
REX,WhyLeaving,Money problems
REX,WhyLeaving,Moving closer to home
REX,WhyLeaving,Moving home
REX,WhyLeaving,No reason given
REX,WhyLeaving,Noise problem
REX,WhyLeaving,Non-renewal of lease
REX,WhyLeaving,Other
REX,WhyLeaving,Parking problems
REX,WhyLeaving,Personal reasons/concerns
REX,WhyLeaving,Property disaster
REX,WhyLeaving,Rental increase
REX,WhyLeaving,Rentin home
REX,WhyLeaving,Returning/going to school
REX,WhyLeaving,Road construction
REX,WhyLeaving,Selling/old house
REX,WhyLeaving,Skipped during eviction process
REX,WhyLeaving,Skipped without notice
REX,WhyChoose,ADA accessible
REX,WhyChoose,Amenities lacking
REX,WhyChoose,Color palette
REX,WhyChoose,Drive up appeal
REX,WhyChoose,Furniture
REX,WhyChoose,Lease term
REX,WhyChoose,Location to employment
REX,WhyChoose,Location to family
REX,WhyChoose,Location to shopping and entertainment
REX,WhyChoose,Meets square footage needs
REX,WhyChoose,Personnel
REX,WhyChoose,Pet allowances
REX,WhyChoose,Point of lease e-commerce offers
REX,WhyChoose,Priing
REX,WhyChoose,Public transportation
REX,WhyChoose,School district
REX,WhyChoose,Special
REX,ProspectLost,Amenities ^ Amenities lacking
REX,ProspectLost,Amenities ^ Bedroom size
REX,ProspectLost,Amenities ^ Color scheme
REX,ProspectLost,Amenities ^ Competition has better amenities
REX,ProspectLost,Amenities ^ Objection to floor plan
REX,ProspectLost,Cost ^ Competition is less expensive
REX,ProspectLost,Cost ^ No specials/concessions
REX,ProspectLost,Cost ^ Too expensive
REX,ProspectLost,Inactive ^ Inactive
REX,ProspectLost,Location ^ Location
REX,ProspectLost,Location ^ Road construction
REX,ProspectLost,Location ^ Too close to highway
REX,ProspectLost,Not available ^ Unit/floor plan not available
REX,ProspectLost,Not interested ^ Bought/rented house instead
REX,ProspectLost,Not interested ^ Changed their mind
REX,ProspectLost,Not interested ^ Not interested
REX,ProspectLost,Not qualified ^ Credit rating below standard
REX,ProspectLost,Not qualified ^ Criminal history not allowed
REX,ProspectLost,Not qualified ^ Does not meet property criteria
REX,ProspectLost,Not qualified ^ Oversized/unallowable pet
REX,ProspectLost,Not qualified ^ Rental history not allowed
REX,ProspectLost,Not qualified ^ Roommate/spouse unqualified
REX,ProspectLost,Not qualified ^ Too many occupants
